team,component,reason,differences,description
McLaren,Floor Body,Performance - Local Load,Revised floor geometry,The complete floor has been revised resulting in improved flow conditioning and a redistribution of suction to gain overall aerodynamic performance.
McLaren,Rear Corner,Performance - Flow Conditioning,Revised Rear Corner Inlet,Modification to Rear Brake Duct Inlet aiming at overall improvement in local flow conditioning for improved aerodynamic and brake cooling performance.
Scuderia Ferrari,None,No updates submitted for this event,None,None
Red Bull Racing,Floor Body,Performance - Local Load,Re-profiled surfaces to supplement the changes to the fences,"Revised surfaces to improve pressure distribution over the length of the floor allowing more load to be extracted whilst maintaining adequate flow stability. distributions, which allows more load to be extracted without harming flow stability downstream."
Mercedes F1 Team,None,No updates submitted for this event,None,None
Aston Martin,Floor Body,Performance - Local Load,The shape of the main body of the floor has evolved slightly as part of this update.,The revised surfaces improve the flow structures under the floor increasing the local load on the lower surface and hence improving performance.
Aston Martin,Floor Fences,Performance - Local Load,The fences have revised curvature and local details.,The revised surfaces improve the flow structures under the floor increasing the local load on the lower surface and hence improving performance.
Aston Martin,Floor Edge,Performance - Local Load,Small changes to the details of the floor edge wing and the main floor inboard of this.,The revised surfaces improve the flow structures under the floor increasing the local load on the lower surface and hence improving performance.
Aston Martin,Coke/Engine Cover,Performance - Local Load,Change to the profile of the top deck of the bodywork.,This revised shape is developed alongside the floor edge details to improve the performance of the floor as above.
Alpine F1 Team,None,No updates submitted for this event,None,None
Haas F1 Team,Floor Body,Floor Body,Performance - Local Load,Performance - Local Load
Haas F1 Team,Floor Fences,Floor Body,Performance - Local Load,Performance - Local Load
Haas F1 Team,Floor Edge,Floor Body,Performance - Local Load,Performance - Local Load
Haas F1 Team,Sidepod Inlet,Floor Body,Performance - Flow Conditioning,Performance - Local Load
Racing Bulls / RB,Front Wing,Circuit specific - Balance Range,New front wing flap geometry.,"The flap elements have been changed for smaller profiles, to cater for the low balance requirements of this and subsequent events."
Williams Racing,Floor Fences,Performance - Flow Conditioning,The inboard floor fence geometry has been revised around the leading edge. The leading edge is located further inboard than the baseline and the geometry has more 3D curvature as it blends back to the original fence profile.,"This revised geometry is designed to improve the flow distribution through the fence system, with the intention of improving the downstream car performance."
Sauber / Audi,Floor Body,Performance - Local Load,Changes to forward floor area.,
Sauber / Audi,Front Wing,Circuit specific - Balance Range,New front wing flap design,
