team,component,reason,differences,description
McLaren,Front Corner,Performance - Flow Conditioning,New Front Brake Duct Winglet,"A new Front Brake Duct Winglet geometry has been developed aiming at better flow conditioning, resulting in an improvement of overall aerodynamic performance."
Scuderia Ferrari,Floor Fences,Performance - Flow Conditioning,Redistribution of fences profiles / camber,"Not event specific, this floor package features updated front floor / fences targeting an improvement of the losses travelling downstream. The reshaped boat and tunnel expansion have been subsequently reoptimized, together with the floor edge loading and vorticity shedding into the diffuser"
Scuderia Ferrari,Floor Body,Performance - Flow Conditioning,Reshaped front floor leading edge and tunnel expansion,"Not event specific, this floor package features updated front floor / fences targeting an improvement of the losses travelling downstream. The reshaped boat and tunnel expansion have been subsequently reoptimized, together with the floor edge loading and vorticity shedding into the diffuser"
Scuderia Ferrari,Floor Edge,Performance - Flow Conditioning,Extended front floor edge wing and reprofiling,"Not event specific, this floor package features updated front floor / fences targeting an improvement of the losses travelling downstream. The reshaped boat and tunnel expansion have been subsequently reoptimized, together with the floor edge loading and vorticity shedding into the diffuser"
Scuderia Ferrari,Diffuser,Performance - Flow Conditioning,Redesigned diffuser expansion,"Not event specific, this floor package features updated front floor / fences targeting an improvement of the losses travelling downstream. The reshaped boat and tunnel expansion have been subsequently reoptimized, together with the floor edge loading and vorticity shedding into the diffuser"
Scuderia Ferrari,Rear Wing,Performance - Local Load,Pillar winglet update,"Not event specific, this floor package features updated front floor / fences targeting an improvement of the losses travelling downstream. The reshaped boat and tunnel expansion have been subsequently reoptimized, together with the floor edge loading and vorticity shedding into the diffuser"
Red Bull Racing,Front Wing,Performance - Local Load,New longer chord flap,"By extending the chord, the wing load potential is lifted giving more scope to attain the targeted aerobalance with the suite of rear wings available."
Red Bull Racing,Cooling Louvres,Cooling,Increased span of louvres,The forecast ambient conditions have necessitated deployment of the wider louvre panels to give the car sufficient cooling capacity for all fluid circuits.
Mercedes F1 Team,None,No updates submitted for this event,None,None
Aston Martin,None,No updates submitted for this event,None,None
Alpine F1 Team,None,No updates submitted for this event,None,None
Haas F1 Team,Coke/Engine Cover,Circuit specific - Cooling Range,Wider Engine Cover centre exit,The Engine cover centre exit was enlarged to allow more heat expulsion. This is an option which will only be used in case specific requirement.
Racing Bulls / RB,None,No updates submitted for this event,None,None
Williams Racing,None,No updates submitted for this event,None,None
Sauber / Audi,None,No updates submitted for this event,None,None
