team,component,reason,differences,description
McLaren,None,No updates submitted for this event,None,None
Scuderia Ferrari,None,No updates submitted for this event,None,None
Red Bull Racing,Coke/Engine Cover,Reliability,Revision to central exit aspect ratio,Subtle changes to reduce the losses incurred by the upper and lower rear wings for more cooling.
Red Bull Racing,Rear corner,Reliability,Enlarged exit duct with blanking options,Subtle changes to reduce the losses incurred by the upper and lower rear wings for more cooling.
Red Bull Racing,Rear Suspension,Performance - Local Load,Mild revision to lower wishbone shroud and fairing into the rear wheel bodywork.,Subtle changes to reduce the losses incurred by the upper and lower rear wings for more cooling.
Mercedes F1 Team,None,No updates submitted for this event,None,None
Aston Martin,None,No updates submitted for this event,None,None
Alpine F1 Team,None,No updates submitted for this event,None,None
Haas F1 Team,Floor Body,Floor Body,Performance - Local Load,Performance -
Racing Bulls / RB,Halo,Performance - Flow Conditioning,Reprofiled Halo shroud and interface to chassis.,The airflow passing over the Halo passes towards the back of the car and can influence the rear wing and floor performance. This update improves the flow quality downstream of the Halo.
Williams Racing,Front Wing Flap,Performance – Local Load,The rearward most element of the front wing has an,"The updated flap geometry produces more local load, which"
Williams Racing,Front Wing Endplate,Performance – Flow Conditioning,The rearward most element of the front wing has an,"Working in conjunction with the new flap, the revisions to the endplate modify the flow leaving the front wing assembly and improve its interaction with the downstream aero devices."
Sauber / Audi,Floor Body,Performance - Local Load,,
Sauber / Audi,Rear Wing,Performance - Local Load,,
Sauber / Audi,Beam Wing,Performance - Local Load,,
