team,component,reason,differences,description
McLaren,Front Wing,Performance - Flow Conditioning,New Front Wing,"A new front wing design, aimed at better flow conditioning across the operating range resulting in improved aerodynamic load delivery."
McLaren,Coke/Engine Cover,Performance - Flow Conditioning,New Bodywork,A revised bodywork package featuring additional cooling exits aiming at improved aerodynamic flow conditioning towards the rear of the car.
McLaren,Cooling Louvres,Circuit specific - Cooling Range,Cooling Louvre Options,"As part of the new bodywork package, multiple cooling louvre options are available to cover the full range of ambient temperatures expected at this and future events."
McLaren,Halo,Performance - Flow Conditioning,Halo Winglet,"A new winglet on top of the halo, aiming at improved management of aerodynamic flow around the cockpit and central engine cover."
McLaren,Rear Wing Endplate,Performance - Local Load,Revised Rear Wing Endplate,Modification to the rear wing endplate geometry resulting in a change in load distribution and increase in local aerodynamic load.
McLaren,Rear Suspension,Performance - Flow Conditioning,Revised Rear Suspension Fairings,Small modification to the rear suspension fairings aimed at improved aerodynamic flow conditioning and load generation around the rear corner and diffuser.
McLaren,Floor Edge,Performance - Flow Conditioning,Revised Floor Edge Devices,Iteration on floor edge devices aimed at improved overall floor conditioning and aerodynamic load generation on the floor and diffuser.
Mercedes F1 Team,Front Wing,Performance - Flow Conditioning,Front wing outboard elements dropped in height and run into the footplate.,"Running the front wing elements into the footplate, and adding strakes, results in more robust flow structures, improving flow to the rear of the car and gaining downforce."
Mercedes F1 Team,Front Wing Endplate,Performance - Flow Conditioning,Front wing outboard elements dropped in height and run into the footplate.,"Running the front wing elements into the footplate, and adding strakes, results in more robust flow structures, improving flow to the rear of the car and gaining downforce."
Mercedes F1 Team,Front Corner,Performance - Flow Conditioning,Front caketin upper lip camber reduced.,"Running the front wing elements into the footplate, and adding strakes, results in more robust flow structures, improving flow to the rear of the car and gaining downforce."
Mercedes F1 Team,Front Corner,Circuit specific - Cooling Range,Increased inlet and exit size.,"Running the front wing elements into the footplate, and adding strakes, results in more robust flow structures, improving flow to the rear of the car and gaining downforce."
