team,component,reason,differences,description
McLaren,None,No updates submitted for this event,None,None
Scuderia Ferrari,None,No updates submitted for this event,None,None
Red Bull Racing,Front Wing,Performance - Local Load,Longer chord front wing flaps,The expected demands of the Zandvoort circuit require the flap elements to have extended chords to increase the load available via angle.
Mercedes F1 Team,None,No updates submitted for this event,None,None
Aston Martin,None,No updates submitted for this event,None,None
Alpine F1 Team,Rear Corner,Performance - Flow Conditioning,Rear Brake Duct furniture,"Update to the rear brake duct furniture, including a set of reprofiled winglets, designed to improve the rear wheel wake management."
Haas F1 Team,None,No updates submitted for this event,None,None
Racing Bulls / RB,None,No updates submitted for this event,None,None
Williams Racing,None,No updates submitted for this event,None,None
Sauber / Audi,Rear Corner,Performance - Flow Conditioning,Updated rear brake duct vane design.,"The changes to the rear brake duct vane affect the flow field around the rear of the car, local to diffuser and rear wheels."
