team,component,reason,differences,description
McLaren,Front Corner,Performance - Flow Conditioning,New Front Brake Duct,"A new front brake duct design is introduced at this event, resulting in improved flow conditioning and gain in aerodynamic load."
McLaren,Floor Furniture,Performance - Flow Conditioning,Revised Floor Board and Furniture,"The floor board and various elements of the floor furniture have been revised, resulting in an improvement of flow physics and gain in overall efficiency."
Mercedes F1 Team,None,No updates submitted for this event,None,None
Red Bull Racing,Rear Corner,Performance - Local Load,Rear wheel bodywork winglets,"Inboard of the rear rims and as part of the rear wheel bodywork assembly, the cascade wings have been revised by changing the number of elements to improve the load characteristics and stability."
Scuderia Ferrari,Rear Corner,Performance - Local Load and Cooling,"Increased cooling inlet and outlet sections, updated lower deflector, re-optimized rearward winglet cluster","This update has 2 main objectives: corner cooling via increased inlet/outlet sections, and local loading via lower deflector redesign and winglet loading optimisation, maximizing aerodynamic efficiency"
Williams Racing,Front Wing,Performance – Flow Conditioning,A new front wing geometry with updated profiles and endplate surfaces.,"An updated front wing assembly has been developed, which aims to generate an increase in local loading combined with an improved flow field interaction with downstream components."
Racing Bulls / RB,Floor Edge & Diffuser,Performance – Local Load,Updated floor corner & diffuser geometry,"The combined updates optimise the flow around the rear floor, allowing it to generate more load and provide increased performance."
Racing Bulls / RB,Rear Corner,Performance – Flow Conditioning,New forward deflector geometry,"In combination with the above, the new deflector targets an improvement in local flow conditioning and improved floor performance."
Aston Martin,None,No updates submitted for this event,None,None
Haas F1 Team,Rear Wing,Rear Wing,Performance - Local Load,Performance -
Haas F1 Team,Rear Wing Endplate,Rear Wing,Performance - Flow Conditioning,Performance -
Audi F1 Team,None,No updates submitted for this event,None,None
Alpine F1 Team,None,No updates submitted for this event,None,None
