team,component,reason,differences,description
McLaren,Front Corner,Performance - Flow Conditioning,Revised Front Corner Furniture,The Front Corner Furniture has been revised to improve interaction with the Front Wing resulting in better flow conditioning overall.
McLaren,Coke/Engine Cover,Performance - Flow Conditioning,Modified Bodywork Furniture,"Furniture around the Central Bodywork has been added resulting both in an improvement in flow conditioning as well as local load gain, increasing overall aerodynamic efficiency."
McLaren,Sidepod Inlet,Performance - Flow Conditioning,Revised Sidepod Inlet,The Sidepod Inlet along with the Mirror has been revised for an improvement in flow conditioning in interaction with the new floor geometry.
McLaren,Cooling Louvres,Circuit specific - Cooling Range,Sidepod Louvre,"To cope with the high cooling demands of this event, a sidepod louvre option is available, increasing overall cooling capacity if required."
McLaren,Floor Body,Performance - Local Load,New Floor and Board geometry,"A completely new floor and Board geometry, working in conjunction with the aforementioned geometrical changes, resulting in an increase in aerodynamic load and efficiency across all conditions."
McLaren,Rear Corner,Performance - Flow Conditioning,Revised Rear Corner Furniture,"The Rear Corner furniture has been revised for improved interaction with the new floor geometry, resulting in better flow conditioning."
McLaren,Rear Wing,Performance - Local Load,New Rear Wing,"A new Rear Wing geometry featuring new elements as well as a revised Endplate geometry, resulting in an overall gain in aerodynamic load and efficiency."
Mercedes F1 Team,Tailpipe,Performance - Drag reduction,Tailpipe reposition with new slotted bracket,"The tailpipe has been rotated tail down (away from the upper wing) and slotted bracket added, to improve the local drag and downforce response."
Mercedes F1 Team,Front Corner,Performance – Flow Conditioning,Increased front drum lip chord,"Increased front drum lip chord, reduces local losses and improves flow to the rear of the car increasing rear downforce."
Red Bull Racing,Front Wing,Performance - Local Load,Revised element and endplate geometries.,A further step of optimisation to all three elements and the endplate now including the permitted diveplane. Offering more load with the same or improved flow stability.
Red Bull Racing,Front Corner,Reliability,Revised front wheel bodywork inboard surfaces.,To gain further efficiency the intake and exit ducts have been revised to draw inlet air from the highest pressure source available and exit with minimal blockage.
Red Bull Racing,Sidepod Inlet,Performance - Flow Conditioning,"To encompass the revied floor bib, the sidepod inlet and mirror support geometries have been revised","Keeping the sidepod inlet ingesting the highest pressure air, the intake and surrounding surfaces have changed to accommodate the new Floor and Engine Cover, extracting more load whilst maintaining flow stability downstream"
Red Bull Racing,Coke/Engine Cover,Performance - Flow Conditioning,Surfaces adapted to meet the new sidepod inlet geometry,"In combination with floor, including the coke split line, a new topbody has been derived offering revised cooling exits and flow stability downstream."
Red Bull Racing,Floor,Performance - Flow Conditioning,Revised bib surfaces to the sidepod and coke line change,"The revised bib geometry accommodates changes to the forward floor structure, then blends with the sidepod to then meet the engine cover. Extracting more load whilst maintaining the downstream flow stability."
Red Bull Racing,Rear Corner,Performance - Local Load,Revised wheel bodywork inboard geometry and suspension farings,The inboard rear suspension shrouds have been blended to the new engine cover and quarter panels to maintain efficiency. Rear wheel bodywork has subtle geometric revisions to incorporate
Red Bull Racing,Rear wing,Performance - Local Load,Revised wing attachments for the mechanism to deploy rear wing Straight mode mechanism,"To allow more travel, the mechanism and attachments to the elements has been revised necessitating a subtle altering of the third profile near centreline."
Scuderia Ferrari,Front Wing Endplate,Performance - Local Load,"Revised footplate outboard channel, addition of top forward vane","Front wing endplate and front corner updates are working hand-in-hand, focusing on flow feature stability and front wheel wake management throughout the entire car operating envelope"
Scuderia Ferrari,Front Corner,Performance - Flow Conditioning,"Detailed development of front deflector upper and lower edges, addition of rear deflector lip","Front wing endplate and front corner updates are working hand-in-hand, focusing on flow feature stability and front wheel wake management throughout the entire car operating envelope"
Scuderia Ferrari,Front Suspension,Performance - Flow Conditioning,Reprofiling of front suspension leg fairings,"Front wing endplate and front corner updates are working hand-in-hand, focusing on flow feature stability and front wheel wake management throughout the entire car operating envelope"
Scuderia Ferrari,Floor Body,Performance - Local Load,"Front central keel volume optimisation, additional front floor board vertical elements and revised board stays. Reprofiled front floor leading edge and leading edge devices","Front wing endplate and front corner updates are working hand-in-hand, focusing on flow feature stability and front wheel wake management throughout the entire car operating envelope"
Scuderia Ferrari,Floor Edge,Performance - Local Load,Main floor outboard trailing edge scoops extended further inboard,"Working together with the front floor update, the rear part of the floor and diffuser have been developed focusing on load increase across the full operating window. In addition, the rear trackrod fairing update together with the rear tail devices provides a favourable pressure gradient for the diffuser, in an efficient manner"
Scuderia Ferrari,Diffuser,Performance - Local Load,Main floor outboard trailing edge scoops extended further inboard,"Working together with the front floor update, the rear part of the floor and diffuser have been developed focusing on load increase across the full operating window. In addition, the rear trackrod fairing update together with the rear tail devices provides a favourable pressure gradient for the diffuser, in an efficient manner"
Scuderia Ferrari,Rear Suspension,Performance - Local Load,Rear trackrod fairing reprofiling,"Working together with the front floor update, the rear part of the floor and diffuser have been developed focusing on load increase across the full operating window. In addition, the rear trackrod fairing update together with the rear tail devices provides a favourable pressure gradient for the diffuser, in an efficient manner"
Scuderia Ferrari,Beam Wing,Performance - Flow Conditioning,Updated inboard connection,See above
Scuderia Ferrari,Rear tail,Performance - Local Load,Revised tail devices and profiles,See above
Scuderia Ferrari,Rear Wing,Performance - Drag reduction,Revised tail devices and profiles,"This iteration of rear wing development has been focused on increasing load in cornering mode in a robust way, whilst maximizing aerodynamic drag shedding in straight mode"
Scuderia Ferrari,Rear Wing Endplate,Performance - Flow Conditioning,"Addition of upwashing volumes, upper endplate detailing","This iteration of rear wing development has been focused on increasing load in cornering mode in a robust way, whilst maximizing aerodynamic drag shedding in straight mode"
Williams Racing,Floor,Performance – General floor aerodynamic performance,"The floor has refined contours, local thickness changes, and updated edge and interface details in the forward, mid and edge regions to suit the new layout.","Improves floor airflow across conditions. Refined surfaces reduce sensitivity to setup, providing more repeatable aerodynamic load over a wider operating window."
Williams Racing,Sidepod,Performance – Cooling capability & mid-body flow,"The inlet lips, internal transitions and outer surfaces are reshaped with revised radii and fillets to match the new packaging.","Extends usable cooling range while cleaning mid-body flow. Reshaped inlet lips, internal transitions and outer surfaces improve local flow quality and maintain cooling margin across ambient and track conditions."
Williams Racing,Bodywork – engine cover / coke / cooling exits,Performance – Rear flow delivery & cooling integration,"The engine cover, coke region and rear/upper cooling exits have revised surfaces, local fairings and openings to suit updated internal routing.","Improves rear flow delivery while satisfying heat-rejection needs. Updated cover, coke and exit geometry improves extraction and reduces disruption, giving more consistent rear flow versus cooling demand."
Williams Racing,Mirror assembly,Performance – Local flow conditioning,"The mirror bodies, fillets and cut-backs are reshaped and repositioned to match the new hardpoints.","Provides local flow conditioning around the cockpit. Mirror reshape and reposition guide flow down the cockpit side, improving conditions for downstream bodywork."
Williams Racing,Tailpipe bracket,Performance – Rear flow,"A new profiled bracket is added behind the tailpipe within the allowed volume, shaped to the new layout.","Improves tail-region integration. Profiled bracket manages wake behind the tailpipe, reducing local separation and supporting more stable rear-end flow behaviour across conditions."
Williams Racing,RIS fairings,Performance – Rear flow & integration,"Fairings around the rear impact structure are revised with new local profiles, junctions and trailing-edge positions to suit surrounding hardware.","Cleans flow around the rear impact structure. Revised fairings, junctions and trailing edges improve integration with local hardware, reducing losses and stabilising the rear flow field."
Williams Racing,Rear brace wing,Performance – Rear flow & integration,"Local profiles and junction details around the brace interfaces are updated, with new cut-lines and trailing-edge positions aligned to the new packaging.","Updated rear wing brace fairings and cut-lines improve flow interaction with nearby elements, providing cleaner handover and more consistent rear airflow behaviour across conditions."
Racing Bulls / RB,Rear Corner,Performance – Flow Conditioning,Profile modification to brake duct furniture.,The winglet geometry changes help improve the flow management at the back of the car and around the rear tyre.
Racing Bulls / RB,Rear Suspension,Performance – Flow Conditioning,Aero profile geometry changes to suit the rear corner update.,"The profile changes on the suspension legs work together with the changes made to the brake duct winglets, to manage flow around the tyre."
Racing Bulls / RB,Floor Edge,Performance – Flow Conditioning,Revised slot geometry around the rearward floor edge.,"The updated floor geometry helps provide cleaner flow around the tyre contact patch, which leads to an overall increase in floor performance."
