team,component,reason,differences,description
McLaren,Diffuser,Performance - Flow Conditioning,Reshaped Diffuser,"The diffuser has been reshaped to improve overall flow conditioning in this area, with the aim of gaining aerodynamic performance."
McLaren,Rear Corner,Performance - Flow Conditioning,New Rear Brake Duct Winglet arrangement,The revised Rear Brake Duct Winglet arrangement results in an improvement in local flowfield around the rear corner translating to an increase in aerodynamic efficiency.
Scuderia Ferrari,Rear Wing,Performance - Drag reduction,Decambered / shorter chord top rear wing flap element,"Adapting to the peculiarities of the Jeddah circuit aerodynamic efficiency requirements, this option is adding granularity in the available downforce level options on the baseline rear wing"
Scuderia Ferrari,Rear Wing,Performance – Drag reduction,Offloaded top rear wing,"This top wing and lower beam wing options are carried-over components from last year’s low/medium downforce events, and provide a larger step compared to the flap described above."
Scuderia Ferrari,Beam Wing,Performance - Drag reduction,Offloaded single element lower beam wing,"This top wing and lower beam wing options are carried-over components from last year’s low/medium downforce events, and provide a larger step compared to the flap described above. The lower beam wing can be combined with different top wing assemblies"
Red Bull Racing,Coke/Engine Cover,Reliability,Enlarged central exit.,Demands of circuit in Jeddah with the forecast ambient temperatures require the use of a larger topbody to reject the heat needed for cooling
Red Bull Racing,Beam Wing,Performance - Local Load,Reduced chord and camber lower or beam wing,Demands of circuit in Jeddah with the forecast ambient temperatures require the use of a larger topbody to reject the heat needed for cooling
Mercedes F1 Team,None,No updates submitted for this event,None,None
Aston Martin,Rear Wing,Circuit specific - Drag Range,Less aggressive rear wing flap to fit an existing assembly.,Part of standard development to provide a wing with less load and hence drag to suit the characteristics of this circuit.
Alpine F1 Team,None,No updates submitted for this event,None,None
Haas F1 Team,Rear Wing,Circuit specific - Drag Range,Decambered Rear Wing assemblies,"Two carry-over Rear Wings from VF24 will be available on track. Both with reduced drag and load level, achieved by raising and decambering the profiles."
Haas F1 Team,Front Wing,Circuit specific - Balance Range,With the lower drag levels a relaxed FW Flap profile is required.,In order to achieve a correct balance level with the introduction of above-mentioned less loaded Rear Wings a less powerful FW Flap is available as well.
Racing Bulls / RB,Front Wing,Circuit specific - Balance Range,The chord length of the front wing flap has been reduced.,"Shortening the chord of the flap results in less load being generated by the front wing at a given flap angle, allowing the car to be balanced for the lower rear wing levels expected at this circuit."
Racing Bulls / RB,Rear Wing,Circuit specific - Drag Range,Reduced camber & incidence wing elements.,"An efficient reduction in drag & downforce is achieved by de-cambering the upper wing and raising the leading edge, making it a good option for this circuit to achieve the optimum lap time."
Racing Bulls / RB,Beam Wing,Circuit specific - Drag Range,Reduced chord & incidence lower element.,Further efficient drag reduction is achieved by reducing the load generated by the lower element of the beam wing.
Williams Racing,None,No updates submitted for this event,None,None
Sauber / Audi,Front Wing,Circuit specific - Balance Range,Low balance front wing flap design,
Sauber / Audi,Floor Body,Performance - Local Load,Changes to central floor geometry,
Sauber / Audi,Beam Wing,Circuit specific - Drag Range,Newly designed beam wing and rear wing endplate.,
Sauber / Audi,Rear Wing Endplate,Circuit specific - Drag Range,Newly designed beam wing and rear wing endplate.,
Sauber / Audi,Rear Wing,Circuit specific - Drag Range,Low drag rear wing assembly,
