team,component,reason,differences,description
McLaren,Front Corner,Performance - Flow Conditioning,Revised Front Brake Duct Winglet,"Revised Front Brake Duct Winglet geometry resulting in improved flow conditioning, resulting in an improvement of overall aerodynamic performance downstream."
McLaren,Front Corner,Circuit specific - Cooling Range,Lower Cooling Front Corner Scoop,Low cooling Front Brake Duct option converting reduced brake cooling demand into increased aerodynamic performance achieved via improved flow conditioning.
McLaren,Beam Wing,Circuit specific - Drag Range,More loaded single element Beamwing,"In order to improve both aerodynamic efficiency as well as overall load on the Rear Wing assembly, a more loaded single element Beamwing has been designed."
McLaren,Beam Wing,Circuit specific - Drag Range,More loaded double element Beamwing,"In order to improve both aerodynamic efficiency as well as overall load on the Rear Wing assembly, a more loaded double element Beamwing has been designed."
Scuderia Ferrari,Front Suspension,Performance - Flow Conditioning,"Switch from pushrod to pullrod, upper and lower wishbones geometry rearrangement to suite and new front brake duct scoop topology","This new front suspension layout has unlocked several development paths, focused on enhancing interactions with the front wing and maximizing downstream flow quality"
Scuderia Ferrari,Sidepod Inlet / Engine cover,Performance - Flow Conditioning,"More compact sidepod in both side and plan views. Reoptimized cooling exits, including engine cover centre line louvres","Benefiting from an improved onset flow quality, the sidepod design has been optimized and made more compact for both improved interactions with the floor / floor edge as well as the rear end of the car"
Scuderia Ferrari,Rear Wing / Beam Wing,Performance - Local Load,New top rear wing profiles and revised lower wing design,"Capitalizing on improved upstream flow energy and new cooling exit topology, the rear wing has been deeply redesigned, offering a net gain on car aerodynamic efficiency"
Red Bull Racing,Front Wing,Performance - Local Load,"First element and curls to the endplate revised, other changes consequential to observe regulations",Redistributed loadings across the elements seeking improved load whilst maintain flow stability
Red Bull Racing,Nose,Performance - Local Load,Revised fairings at the element junctions,Redistributed loadings across the elements seeking improved load whilst maintain flow stability
Red Bull Racing,Front Suspension,Performance - Local Load,Suspension fairings revised on the trackrod and wishbones,Redistributed loadings across the elements seeking improved load whilst maintain flow stability
Red Bull Racing,Floor Body,Performance - Local Load,Re-profiled surfaces to supplement the changes to the fences and edge wing,Redistributed loadings across the elements seeking improved load whilst maintain flow stability
Red Bull Racing,Floor Fences,Performance - Local Load,Repositioned laterally at the leading edges,Redistributed loadings across the elements seeking improved load whilst maintain flow stability
Red Bull Racing,Floor Edge,Performance - Local Load,New surfaces with increased camber locally,"Given changes upstream, more camber has been applied to the edge wing for more local load."
Red Bull Racing,Coke/Engine Cover,Reliability,Mild revision to the sidepod shape to clear components.,"Given changes upstream, more camber has been applied to the edge wing for more local load."
Red Bull Racing,Cooling Louvres,Cooling,Reduced span for the medium levels of cooling,"Given changes upstream, more camber has been applied to the edge wing for more local load."
Red Bull Racing,Rear Suspension,Performance - Local Load,Revised fairings,"Given bodywork changes upstream, the fairings have been re-optimised gaining locally more load whilst maintaining flow stability"
Red Bull Racing,Beam Wing,Performance - Local Load,Revised camber distribution across the span,Less blockage behind the central topbody cooling exit to reduce the louvre count and improve slightly the load extracted across the span
Red Bull Racing,Rear Wing,Performance - Local Load,Revised curl geometry for the mainplane,A revised mainplane tip geometry has extracted more local load by revising the pressure distribution across the span.
Red Bull Racing,Rear Wing Endplate,Performance - Local Load,Tip geometry as a result of changes to the mainplane,A revised mainplane tip geometry has extracted more local load by revising the pressure distribution across the span.
Mercedes F1 Team,Sidepod Inlet,Performance - Flow Conditioning,Vertical and horizontal inlet.,"Improved flow quality to the radiator and rear of the floor, thus increasing floor load."
Mercedes F1 Team,Floor Body,Performance - Local Load,Change in the fence camber and floor tunnel profile.,"Improved flow quality to the radiator and rear of the floor, thus increasing floor load."
Mercedes F1 Team,Coke/Engine Cover,Performance - Flow Conditioning,Increased undercut sidepod.,"Improved flow quality to the radiator and rear of the floor, thus increasing floor load."
Mercedes F1 Team,Beam Wing,Performance - Local Load,Improved section profiling.,Improved profiling of both beam wing elements resulting in better wing efficiency.
Mercedes F1 Team,Front,Performance - Flow Conditioning,Low rear track rod,Improved profiling of both beam wing elements resulting in better wing efficiency.
Mercedes F1 Team,Rear Wing,Performance - Local Load,Improved section profiling.,Improved profiling of both beam wing elements resulting in better wing efficiency.
Racing Bulls / RB,Nose,Performance - Local Load,Longer nose compared to 2024 connecting to the forward front wing element.,The new longer nose improves the loading distribution of the front wing and interaction with surrounding parts for better performance.
Racing Bulls / RB,Front Wing,Performance - Local Load,Evolution of the profiles and outboard details.,The modifications to the wing surfaces change the loading distribution and improve the performance of the wing across the different on track conditions.
Racing Bulls / RB,Front Corner,Performance - Local Load,"Scoop inlet and exit topology refined, lower deflector incidence modified.",The changes to the scoop geometry improve the cooling efficiency of the brake ducts. The deflector planview incidence is changed to suit the current car characteristics.
Racing Bulls / RB,Sidepod Inlet,Performance - Flow Conditioning,The sidepod inlet is now retracted below the upper lip.,The sidepod inlet has been revised to manage the flow to the rear of the car whilst maintaining sufficient flow into the inlet to cool the car.
Racing Bulls / RB,Coke/Engine Cover,Performance - Local Load,Undercut depth has increased and the engine cover is narrower.,The undercut works in conjunction with the new inlet. The exit of the bodywork is shaped to manage the position of the internal cooling flow downstream.
Racing Bulls / RB,Cooling Louvres,Performance - Flow Conditioning,Louvres cover a larger area compared to 2024.,The cooling louvres are designed to position the underbody cooling massflow in the most favourable position going rearwards over the car.
Racing Bulls / RB,Floor Body,Performance - Local Load,Numerous subtle changes in the shape of the floor.,Combined changes to the floor improve the flowfield under the floor increasing the local load generated on the lower surface and hence performance.
Racing Bulls / RB,Floor Fences,Performance - Local Load,Realignment and repositioning of the four floor fences.,Combined changes to the floor improve the flowfield under the floor increasing the local load generated on the lower surface and hence performance.
Racing Bulls / RB,Rear Suspension,Performance - Local Load,Fairings have been refined with changes in section and twist.,The revised rear suspension fairings have been evolved to work in conjunction with the changes to the flow at the back of the car.
Racing Bulls / RB,Rear Corner,Performance - Local Load,Revised exit duct shape and vanes.,The exit duct and vanes have been developed to increase the load generated by the rear corner through the operating envelope.
Racing Bulls / RB,Beam Wing,Performance - Local Load,Raised OB tips.,"In combination with the rear wing the assembly now generates more efficient load, as usual there will be a sweep of wings to cover different circuits."
Racing Bulls / RB,Rear Wing,Performance - Local Load,Flap tips are swept further forwards.,"In combination with the beam wing the assembly now generates more efficient load, as usual there will be a sweep of wings to cover different circuits."
Alpine F1 Team,Sidepod Inlet,Performance - Flow Conditioning,Raised and reprofiled inlet,The sidepod inlet has been reshaped for a local flow optimisation whilst ensuring sufficient airflow is fed to the cooling system.
Alpine F1 Team,Coke/Engine Cover,Performance - Flow Conditioning,Re-designed bodywork and cooling options,This new bodywork has been designed to improve the flow delivery at the rear of the car while also offering sufficient cooling options to cover the range of conditions seen throughout the season.
Alpine F1 Team,Floor Body,Performance - Local Load,"Complete floor optimisation, including fences, floor edges and diffuser",The floor has been optimised to improve efficient and balanced load generation. This has been achieved by delivering a cleaner loading of the floor and better management of the underfloor structures.
Alpine F1 Team,Performance - Local Load,Performance - Local Load,Revised design of the rear corner,Redesign of the rear drum and its winglets to generate some efficient local load.
Alpine F1 Team,Rear Wing,Performance - Flow Conditioning,Rear wing endplate reprofiled,"The rear wing endplates have been reprofiled to improve the flowfield management, offering efficient downforce performance gains in the surrounding elements"
Alpine F1 Team,Rear Suspension,Performance - Flow Conditioning,Update to rear suspension fairings,"The rear suspension legs/fairings have been optimised to the surrounding flowfield, improving the local flow quality, while gaining efficient performance."
Racing Bulls / RB,Front Wing Endplate,Front Wing,Performance - Flow Conditioning,Performance -
Racing Bulls / RB,Front Wing,Front Wing,Performance - Flow Conditioning,Performance -
Racing Bulls / RB,Sidepod Inlet,Front Wing,Performance - Drag reduction,Performance -
Racing Bulls / RB,Floor Body,Front Wing,Performance - Local Load,Performance -
Racing Bulls / RB,Floor Fences,Front Wing,Performance - Local Load,Performance -
Racing Bulls / RB,Floor Edge,Front Wing,Performance - Local Load,Performance -
Racing Bulls / RB,Coke/Engine Cover,Front Wing,Performance - Flow Conditioning,Performance -
Racing Bulls / RB,Rear Wing Endplate,Performance - Drag reduction,Increased cut-out,The increased cut-out on the RWEP enhances load efficiency by allowing the expanding flow underneath the rear wing profiles to move freely without the obstruction of the endplate.
Racing Bulls / RB,Beam Wing,Performance - Local Load,Increased OB expansion,"The new car layout allows to efficiently increase the loading of the lower beam, increasing its support to the OB region of the upper RW."
Racing Bulls / RB,Front Suspension,Performance - Flow Conditioning,Suspension fairing optimization,"The new car layout allows to efficiently increase the loading of the lower beam, increasing its support to the OB region of the upper RW."
Racing Bulls / RB,Front Corner,Performance - Flow Conditioning,Updated scoop design,"The scoop geometry was narrowed, reducing the frontal impact area and improving the flow impacting on the rest of the car."
Racing Bulls / RB,Rear Suspension,Performance - Flow Conditioning,Updated rear suspension with revised fairing design,The new floor and bodywork design imply different flow impacting on the rear suspensions: the new fairings are designed to enhance efficiency and condition the corner flow.
Racing Bulls / RB,Rear Corner,Performance - Local Load,Revised internal and external design,"The revised design improves the cooling performance of the rear corner and increases the generated local load, through a complete revision of the ancillaries."
Racing Bulls / RB,Sidepods,Performance - Flow Conditioning,Revised radiator inlet and sidepod curvature.,"Revised inlet geometry to optimise cooling and make it more efficient, and at the same time improving the downforce provided."
Racing Bulls / RB,Front Wing,Performance - Flow Conditioning,"New mainplane elements, flap & endplates.",The loading distribution across the front wing is modified to promote better quality flow to the rest of the car.
Racing Bulls / RB,Front Suspension,Other - Local flow alignment,Suspension leg orientations have been modified.,"Suspension profiles optimised for the new aero package, the aim being to make them more aero friendly while maximizing the aero load"
