team,component,reason,differences,description
McLaren,Rear Corner,Performance - Flow Conditioning,New Rear Brake Duct Winglet,"The new Rear Brake Duct Winglet improves local flow physics in interaction with floor and tyre, resulting in an overall gain in aerodynamic performance."
Scuderia Ferrari,None,No updates submitted for this event,None,None
Red Bull Racing,None,No updates submitted for this event,None,None
Mercedes F1 Team,None,No updates submitted for this event,None,None
Aston Martin,None,No updates submitted for this event,None,None
Alpine F1 Team,None,No updates submitted for this event,None,None
Haas F1 Team,None,No updates submitted for this event,None,None
Racing Bulls / RB,Front Wing,Circuit specific - Balance Range,Additional FW gurney options available,"For circuits with higher aero balance requirements, adding gurneys to the front wing increases the front wing load generated at a given flap angle."
Racing Bulls / RB,Beam Wing,Circuit specific - Drag Range,Two-element beam wing with greater camber & incidence.,"Raising the trailing edge of the beam wing and using a two-element configuration increases the overall load generated by the rear wing assembly but with some additional drag, making it suitable at some higher-downforce circuits."
Williams Racing,Rear Beam Wing,Circuit specific – Drag Level,A new main beam wing is available this weekend. It is a,"The new beam wing options, which have a larger area than"
Sauber / Audi,Coke/Engine Cover,Performance - Flow Conditioning,Changes to the engine cover design.,
