team,component,reason,differences,description
McLaren,Coke/Engine Cover,Circuit specific - Cooling Range,Larger Engine Cover,"Given the specific cooling requirements of this track, a larger engine cover has been brought to the event to increase overall cooling capacity while maintaining high aerodynamic efficiency."
McLaren,Front Suspension,Reliability,Monaco Front Suspension,"To deal with the unique corner radii encountered at his track, revised front suspension fairings allowing for increased clearance to the wheel at high steer angles have been brought to this event."
McLaren,Beam Wing,Performance - Flow Conditioning,Revised Beam Wing,"A small revision to the beam wing, improving overall flow conditioning and increasing aerodynamic efficiency in conjunction with the rear wing."
McLaren,Rear Wing,Circuit specific - Drag Range,Rear Wing Winglet Cascade,The removal of the straight mode actuator and circuit characteristic incentivises the addition of local devices to generate additional aerodynamic load.
McLaren,Rear Corner,Performance - Flow Conditioning,Revised Corner,Modification to the rear suspension fairings as well as rear corner furniture aimed at improved aerodynamic flow conditioning around the rear corner and diffuser.
McLaren,Diffuser,Reliability,Floor Stay,Addition of a floor stay attached to the diffuser to improve robustness and deflection to maintain aerodynamic performance throughout the speed range.
Mercedes F1 Team,Rear Wing,Performance - Local Load,Small winglets added within rear wing SM fairing volume,"These winglets generate local downforce and drag. The lack of SM mechanism, and the low drag sensitivity of Monaco. make these elements attractive."
Racing Bulls / RB,Front Corner,Reliability,Enlarged front wheel bodywork brake cooling exit duct,The low air speed nature of the Monaco circuit demands a larger exit duct for the front brake material and caliper cooling.
Racing Bulls / RB,Front corner,Reliability,Suspension member fairing and the front wheel bodywork trims for steering lock,The suspension fairings and the inner face of the front wheel bodywork have been trimmed to allow greater angles than the minimum requirement of the regulations for the unique nature of the Monaco circuit.
Racing Bulls / RB,Engine Cover,Reliability,Engine cover and sidepod exits for cooling,"As is needed for the brakes, the speed profile of the Monaco track implies engine cover and sidepod cooling exits need to be opened for Power Unit and Gearbox."
Racing Bulls / RB,Rear wing,Performance – Local load,Third element extension and SM fairing extension,"The rear wing has a central extension and the SM mechanism fairing also has an extension both adding beneficial local load to the rear wing, in the absence of Straight Mode operation."
Scuderia Ferrari,Front Suspension,Circuit specific,Modification to front trackrod / suspension legs and fairings,Monaco specific front suspension modifications to allow for greater single wheel angle that are necessary on this peculiar circuit layout
Scuderia Ferrari,Floor Body,Circuit specific – Drag range,Additional gurney on front floor board second element trailing edge,Monaco specific front suspension modifications to allow for greater single wheel angle that are necessary on this peculiar circuit layout
Scuderia Ferrari,Diffuser,Circuit specific – Drag range,Additional stay on last element of the diffuser winglet,Monaco specific front suspension modifications to allow for greater single wheel angle that are necessary on this peculiar circuit layout
Williams Racing,Front Suspension,Performance - Mechanical Setup,A revised front suspension geometry with updated cladding surfaces to suit,To suit the demands of the unique Monaco circuit a new front suspension geometry is available.
Williams Racing,Exhaust Tailpipe,Performance – Local Load,An updated exhaust tailpipe installation,To suit the demands of the unique Monaco circuit a new front suspension geometry is available.
Racing Bulls / RB,Front Suspension,Circuit Specific - Mechanical Setup,Clearance modifications on suspension legs,The tight corners of Monaco require increased steering range compared to other circuits. These modifications to the suspension allow for additional steer travel whilst minimising any detrimental effect on the aerodynamics.
Racing Bulls / RB,Rear Wing,Performance - Local Load,"New flap, and new winglet on SM Pod","Both the new flap & the central winglet generate additional downforce compared to the previous specification, particularly suited for the high- downforce nature of Monaco."
Aston Martin,Front Suspension,Performance - Mechanical Setup,Revised trackrod OB position.,This is the typical front suspension adjustment for this circuit to achieve the required steering range for the prevalent corner characteristics.
Aston Martin,Cooling Louvres,Circuit specific - Cooling Range,Additional bodywork louvres.,Additional bodywork louvres may be added to increase the exit area of the bodywork to provide the cooling level required at this event.
Aston Martin,Exhaust,Performance - Local Load,Updated and repositioned exhaust tailpipe bracket.,The updated exhaust tailpipe bracket is used to
Haas F1 Team,Front Suspension,Front,Performance - Mechanical Setup,Performance -
Haas F1 Team,Rear Wing,Front,Performance - Local Load,Performance -
Haas F1 Team,Rear Impact Structure,Front,Performance – Local Load,Performance -
Audi F1 Team,Front Wing,Circuit specific - Local Load,SM actuators removed,This design change aims to reduce any unnecessary blockage on the front wing.
Audi F1 Team,Mirror,Performance - Local Load,Updated mirror design,This design change aims to reduce any unnecessary blockage on the front wing.
Audi F1 Team,Engine Cover,Performance - Cooling Range,Redesigned roll hoop and engine cover,This design change aims to reduce any unnecessary blockage on the front wing.
Audi F1 Team,Rear Wing,Circuit specific - Local Load,SM actuator removed,This design change aims to reduce any unnecessary blockage on the rear wing.
Alpine F1 Team,Rear Wing,Performance - Local Load,Addition of winglets,"As part of our ongoing in-season rear wing development programme, flap winglets are introduced at this event to further enhance aerodynamic performance."
Cadillac,Rear Wing,Performance – Local Load,Updated wing section profiles and end plate geometry,Updated Rear Wing and End Plate surfaces to generate more aerodynamic load at the rear of the car whilst also improving sensitivity to changes in car attitude
Cadillac,Exhaust Tailpipe,Performance – Local Load,Revised exhaust tailpipe and bracket geometry,Changes to the exhaust tailpipe and bracket geometry to increase local aerodynamic load and consequently improve the load characteristics at the rear of the car
